datetime,asset,avg_iv,put_iv,call_iv,iv_skew,n_options
2026-04-19 17:00:00,ETH,75.54409207161126,75.54406649616368,75.54411764705883,-5.115089514617921e-05,782
2026-04-19 17:00:00,BTC,52.21729934924078,52.2172885032538,52.21731019522777,-2.1691973969950595e-05,922
2026-04-19 18:00:00,ETH,75.5347570332481,75.53475703324808,75.53475703324808,0.0,782
2026-04-19 18:00:00,BTC,52.19279826464208,52.19279826464208,52.19279826464208,0.0,922
2026-04-19 19:00:00,ETH,76.15753196930946,76.15751918158568,76.15754475703325,-2.5575447565984177e-05,782
2026-04-19 19:00:00,BTC,52.35802603036877,52.35800433839479,52.35804772234274,-4.338394794700662e-05,922
2026-04-19 20:00:00,ETH,76.69429846938776,76.6943112244898,76.69428571428571,2.5510204082479504e-05,784
2026-04-19 20:00:00,BTC,52.84130151843818,52.841301518438186,52.84130151843817,1.4210854715202004e-14,922
2026-04-19 21:00:00,ETH,76.87375,76.87375,76.87375,0.0,784
2026-04-19 21:00:00,BTC,52.86268980477224,52.86268980477224,52.86268980477224,0.0,922
2026-04-19 22:00:00,ETH,77.5243112244898,77.5243112244898,77.5243112244898,0.0,784
2026-04-19 22:00:00,BTC,53.12045553145336,53.120477223427336,53.12043383947938,4.3383947954112045e-05,922
2026-04-19 23:00:00,ETH,78.37063775510204,78.37063775510204,78.37063775510204,0.0,784
2026-04-19 23:00:00,BTC,53.34180043383948,53.34180043383949,53.34180043383948,7.105427357601002e-15,922
2026-04-20 00:00:00,ETH,78.69445569620254,78.69445569620254,78.69445569620252,1.4210854715202004e-14,790
2026-04-20 00:00:00,BTC,53.09213822894168,53.09213822894168,53.092138228941685,-7.105427357601002e-15,926
2026-04-20 01:00:00,ETH,78.6877088607595,78.68772151898735,78.68769620253164,2.531645570513774e-05,790
2026-04-20 01:00:00,BTC,53.58196544276457,53.58200863930886,53.58192224622029,8.639308856572825e-05,926
2026-04-20 07:00:00,ETH,76.5626582278481,76.5626582278481,76.5626582278481,0.0,790
2026-04-20 07:00:00,BTC,53.32602591792656,53.326025917926565,53.32602591792656,7.105427357601002e-15,926
2026-04-20 09:00:00,ETH,77.36296202531645,77.36296202531645,77.36296202531645,0.0,790
2026-04-20 09:00:00,BTC,53.95712742980562,53.95712742980562,53.95712742980562,0.0,926
2026-04-20 10:00:00,ETH,75.63333333333333,75.63333333333334,75.63333333333333,1.4210854715202004e-14,744
